CountyDistrictSchool|School Year|SPED Percentage
630030000|20102011|0.1252
630030000|20112012|0.1368
630030000|20122013|0.1455
630030000|20132014|0.1674
640023000|20092010|0.1362
640023000|20102011|0.1519
640023000|20112012|0.1321
640023000|20122013|0.1590
640023000|20132014|0.1596
640029000|20092010|0.1587
640029000|20102011|0.1598
640029000|20112012|0.1674
640029000|20122013|0.1761
640029000|20132014|0.1684
650011000|20092010|0.1812
650011000|20102011|0.1834
650011000|20112012|0.1824
650011000|20122013|0.2326
650011000|20132014|0.2781
652005000|20092010|0.1920
652005000|20102011|0.2123
652005000|20112012|0.2031
652005000|20122013|0.1846
652005000|20132014|0.2157
660027000|20092010|0.1240
660027000|20102011|0.1134
660027000|20112012|0.1170
660027000|20122013|0.1189
660027000|20132014|0.1212
660111000|20092010|0.1833
660111000|20102011|0.1602
660111000|20112012|0.1762
660111000|20122013|0.1938
660111000|20132014|0.2128
660501000|20092010|0.1686
660501000|20102011|0.1762
660501000|20112012|0.1697
660501000|20122013|0.1724
660501000|20132014|0.1564
670001000|20092010|0.1565
670001000|20102011|0.1336
670001000|20112012|0.1399
670001000|20122013|0.1833
670001000|20132014|0.1962
670069000|20092010|0.1378
670069000|20102011|0.1643
670069000|20112012|0.2105
670069000|20122013|0.1838
670069000|20132014|0.3481
680020000|20092010|0.1705
680020000|20102011|0.1448
680020000|20112012|0.1173
680020000|20122013|0.1139
680020000|20132014|0.1223
690044000|20092010|0.1825
690044000|20102011|0.1805
690044000|20112012|0.1683
690044000|20122013|0.1680
690044000|20132014|0.1774
690054000|20092010|0.1641
690054000|20102011|0.1351
690054000|20112012|0.1429
690054000|20122013|0.1617
690054000|20132014|0.1905
690055000|20092010|0.1463
690055000|20102011|0.2010
690055000|20112012|0.1508
690055000|20122013|0.1590
690055000|20132014|0.1639
700002000|20092010|0.1681
700002000|20102011|0.1720
700002000|20112012|0.1691
700002000|20122013|0.1767
700002000|20132014|0.2146
700005000|20092010|0.1717
700005000|20102011|0.1598
700005000|20112012|0.1633
700005000|20122013|0.1893
700005000|20132014|0.2161
700542000|20092010|0.1358
700542000|20102011|0.1311
700542000|20112012|0.1422
700542000|20122013|0.1553
700542000|20132014|0.1366
710001000|20092010|0.1715
710001000|20102011|0.1642
710001000|20112012|0.1610
710001000|20122013|0.1799
710001000|20132014|0.1772
710005000|20092010|0.1359
