id|year|reading_avg_score|reading_grade|reading_basic_pct|reading_proficient_pct|reading_advanced_pct|reading_not_tested_pct|concat_join_id
020018001|2013-2014|123.88|07|-1.00|0.59|0.29|0|0200180012013-2014
020018001|2014-2015|-1.00|07|-1.00|-1.00|-1.00|0|0200180012014-2015
020018001|2011-2012|114.54|08|-1.00|0.54|-1.00|0|0200180012011-2012
020018001|2012-2013|131.87|08|-1.00|0.53|0.47|0|0200180012012-2013
020018001|2013-2014|127.50|08|-1.00|0.60|-1.00|0|0200180012013-2014
020018001|2014-2015|124.00|08|-1.00|0.33|0.53|0|0200180012014-2015
020018001|2011-2012|112.33|11|-1.00|0.58|-1.00|0|0200180012011-2012
020018001|2012-2013|130.25|11|-1.00|0.42|0.50|0|0200180012012-2013
020018001|2013-2014|112.50|11|-1.00|0.36|0.36|0|0200180012013-2014
020018001|2014-2015|107.25|11|-1.00|0.50|-1.00|0|0200180012014-2015
020018002|2011-2012|100.83|03|-1.00|0.42|-1.00|0|0200180022011-2012
020018002|2012-2013|112.83|03|-1.00|-1.00|-1.00|0|0200180022012-2013
020018002|2013-2014|126.64|03|-1.00|0.50|0.36|0|0200180022013-2014
020018002|2014-2015|133.73|03|-1.00|0.55|0.45|0|0200180022014-2015
020018002|2011-2012|-1.00|04|-1.00|-1.00|-1.00|0|0200180022011-2012
020018002|2012-2013|-1.00|04|-1.00|-1.00|-1.00|0|0200180022012-2013
020018002|2013-2014|107.50|04|-1.00|0.70|-1.00|0|0200180022013-2014
020018002|2014-2015|140.64|04|-1.00|0.55|0.45|0|0200180022014-2015
020018002|2011-2012|96.57|05|0.43|-1.00|-1.00|0|0200180022011-2012
020018002|2012-2013|-1.00|05|-1.00|-1.00|-1.00|0|0200180022012-2013
020018002|2013-2014|-1.00|05|-1.00|-1.00|-1.00|0|0200180022013-2014
020018002|2014-2015|-1.00|05|-1.00|-1.00|-1.00|0|0200180022014-2015
020018002|2011-2012|149.55|06|-1.00|-1.00|0.64|0|0200180022011-2012
020018002|2012-2013|148.43|06|-1.00|0.43|0.57|0|0200180022012-2013
020018002|2013-2014|-1.00|06|-1.00|-1.00|-1.00|0|0200180022013-2014
020018002|2014-2015|-1.00|06|-1.00|-1.00|-1.00|0|0200180022014-2015
022001002|2011-2012|109.54|03|-1.00|0.54|-1.00|0|0220010022011-2012
022001002|2012-2013|124.14|03|-1.00|0.57|-1.00|0|0220010022012-2013
022001002|2013-2014|134.36|03|-1.00|0.50|0.50|0|0220010022013-2014
022001002|2014-2015|126.27|03|-1.00|0.33|0.47|0|0220010022014-2015
022001002|2011-2012|128.61|04|-1.00|0.61|0.33|0|0220010022011-2012
022001002|2012-2013|128.31|04|-1.00|0.38|0.46|0|0220010022012-2013
022001002|2013-2014|161.75|04|-1.00|-1.00|0.75|0|0220010022013-2014
022001002|2014-2015|130.69|04|-1.00|0.62|0.38|0|0220010022014-2015
022001004|2011-2012|-1.00|03|-1.00|-1.00|-1.00|0|0220010042011-2012
022001004|2012-2013|-1.00|03|-1.00|-1.00|-1.00|0|0220010042012-2013
022001004|2013-2014|-1.00|03|-1.00|-1.00|-1.00|0|0220010042013-2014
022001004|2014-2015|-1.00|03|-1.00|-1.00|-1.00|0|0220010042014-2015
022001004|2011-2012|-1.00|04|-1.00|-1.00|-1.00|0|0220010042011-2012
022001004|2012-2013|-1.00|04|-1.00|-1.00|-1.00|0|0220010042012-2013
022001004|2013-2014|-1.00|04|-1.00|-1.00|-1.00|0|0220010042013-2014
022001004|2014-2015|-1.00|04|-1.00|-1.00|-1.00|0|0220010042014-2015
022001006|2011-2012|115.00|03|-1.00|0.58|-1.00|0|0220010062011-2012
022001006|2012-2013|-1.00|03|-1.00|-1.00|-1.00|0|0220010062012-2013
022001006|2013-2014|-1.00|03|-1.00|-1.00|-1.00|0|0220010062013-2014
022001006|2014-2015|-1.00|03|-1.00|-1.00|-1.00|0|0220010062014-2015
022001006|2011-2012|-1.00|04|-1.00|-1.00|-1.00|0|0220010062011-2012
022001006|2012-2013|89.42|04|0.42|0.58|-1.00|0|0220010062012-2013
022001006|2013-2014|-1.00|04|-1.00|-1.00|-1.00|0|0220010062013-2014
022001006|2014-2015|-1.00|04|-1.00|-1.00|-1.00|0|0220010062014-2015
022001006|2014-2015|-1.00|05|-1.00|-1.00|-1.00|0|0220010062014-2015
022001006|2014-2015|119.25|06|-1.00|0.67|-1.00|0|0220010062014-2015
022001007|2011-2012|122.00|05|-1.00|0.58|0.35|0|0220010072011-2012
022001007|2012-2013|120.33|05|-1.00|0.48|0.33|0|0220010072012-2013
022001007|2013-2014|110.10|05|0.25|0.45|0.30|0|0220010072013-2014
022001007|2014-2015|123.14|05|-1.00|0.38|0.43|0|0220010072014-2015
022001007|2011-2012|93.43|06|0.43|0.48|-1.00|0|0220010072011-2012
022001007|2012-2013|120.26|06|-1.00|0.59|0.33|0|0220010072012-2013
022001007|2013-2014|121.00|06|-1.00|0.37|0.42|0|0220010072013-2014
022001007|2014-2015|118.35|06|-1.00|0.41|0.35|0|0220010072014-2015
022001007|2011-2012|103.48|07|0.28|0.59|-1.00|0|0220010072011-2012
022001007|2012-2013|106.36|07|0.36|0.36|0.28|0|0220010072012-2013
022001007|2013-2014|131.50|07|-1.00|0.42|0.50|0|0220010072013-2014
022001007|2014-2015|132.56|07|-1.00|0.67|0.28|0|0220010072014-2015
022001007|2011-2012|119.21|08|-1.00|0.61|0.29|0|0220010072011-2012
022001007|2012-2013|116.61|08|-1.00|0.64|0.25|0|0220010072012-2013
022001007|2013-2014|97.38|08|0.29|0.58|-1.00|0|0220010072013-2014
022001007|2014-2015|126.84|08|-1.00|0.60|0.32|0|0220010072014-2015
022001008|2011-2012|91.74|11|0.52|0.26|0.22|0|0220010082011-2012
