CountyDistrictSchool|School Year|HAL Percentage
480008000|20112012|0.0936
480300000|20112012|0.1912
480303000|20112012|0.1768
490033000|20112012|0.2153
490050000|20112012|0.0798
500001000|20112012|0.2039
500501000|20112012|0.0882
500503000|20112012|0.1732
510001000|20112012|0.1304
510006000|20112012|0.0917
520100000|20112012|0.1373
530001000|20112012|0.0732
540013000|20112012|0.0448
540096000|20112012|0.0833
540501000|20112012|0.2284
540505000|20112012|0.0855
540576000|20112012|0.0872
540586000|20112012|0.1513
550001000|20112012|0.1470
550145000|20112012|0.0431
550148000|20112012|0.0526
550160000|20112012|0.2177
550161000|20112012|0.1824
550605000|20112012|-1.0000
554001000|20112012|-1.0000
554002000|20112012|-1.0000
554003000|20112012|-1.0000
560001000|20112012|0.0990
560006000|20112012|0.0688
560007000|20112012|0.1346
560037000|20112012|0.0870
560055000|20112012|0.1592
560565000|20112012|0.2324
570501000|20112012|0.1040
580025000|20112012|-1.0000
590001000|20112012|0.0921
590002000|20112012|0.1703
590005000|20112012|0.1346
590013000|20112012|-1.0000
590080000|20112012|0.0609
594001000|20112012|-1.0000
594003000|20112012|-1.0000
600090000|20112012|0.2897
610004000|20112012|0.0829
610049000|20112012|0.2194
620021000|20112012|-1.0000
620063000|20112012|0.0952
630001000|20112012|0.1803
630030000|20112012|0.0998
640023000|20112012|0.0586
640029000|20112012|0.1127
650011000|20112012|0.2606
652005000|20112012|0.0842
660027000|20112012|0.2748
660111000|20112012|0.0839
660501000|20112012|0.2440
670001000|20112012|0.0644
670069000|20112012|0.0988
680020000|20112012|0.0361
690044000|20112012|0.1569
690054000|20112012|0.1855
690055000|20112012|0.1237
700002000|20112012|0.0350
700005000|20112012|0.2991
700542000|20112012|0.1273
710001000|20112012|0.1390
710005000|20112012|0.1233
710067000|20112012|0.0823
720015000|20112012|0.2082
720019000|20112012|0.3382
720032000|20112012|0.0968
720075000|20112012|0.2061
730017000|20112012|0.1344
730179000|20112012|-1.0000
740056000|20112012|0.1136
740070000|20112012|0.1726
750100000|20112012|0.2615
760002000|20112012|0.1562
760044000|20112012|0.2123
760068000|20112012|0.0909
760082000|20112012|0.1193
770001000|20112012|0.1665
770027000|20112012|0.1137
770037000|20112012|0.1176
770046000|20112012|0.1338
774002000|20112012|-1.0000
780001000|20112012|0.1892
780009000|20112012|0.0776
780039000|20112012|0.1056
780072000|20112012|0.1154
780107000|20112012|0.1086
790002000|20112012|-1.0000
790011000|20112012|0.0471
790016000|20112012|0.1055
790031000|20112012|0.0553
790032000|20112012|0.0425
794001000|20112012|-1.0000
800005000|20112012|0.0868
800009000|20112012|0.0751
800567000|20112012|0.1602
810003000|20112012|0.2171
810010000|20112012|0.2003
820001000|20112012|0.0984
820015000|20112012|-1.0000
830500000|20112012|0.2414
840003000|20112012|0.1273
850060000|20112012|0.3881
850070000|20112012|0.1299
852001000|20112012|0.1316
860001000|20112012|0.2157
870001000|20112012|0.2219
870013000|20112012|0.3310
870016000|20112012|-1.0000
870017000|20112012|0.0545
880005000|20112012|0.0650
880021000|20112012|0.3089
890001000|20112012|0.0477
890003000|20112012|0.1352
890024000|20112012|0.1042
900017000|20112012|0.0833
900560000|20112012|0.1213
900595000|20112012|0.4198
910002000|20112012|0.2348
910074000|20112012|-1.0000
920045000|20112012|0.1224
930012000|20112012|0.1260
930083000|20112012|0.1687
930096000|20112012|0.1477
934001000|20112012|-1.0000
000000000|20112012|0.1387
010003000|20122013|0.1779
010018000|20122013|0.1007
010090000|20122013|0.2037
